露出	2016/10/26(水) 午後4時0分	柏市酒井根六丁目	35.798758	139.955646	31～40歳	男	171～175cm	自転車	ガッチリ、黒色短髪、会社員風、眼鏡等は無し	灰色長袖Ｔシャツ、紺色長ズボン	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
盗撮	2016/04/27(水) 午後1時50分	松戸市胡録台	35.785425	139.911014	26～30歳	男	171～175cm	無	細身、黒色、短髪、学生風、タブレット	黒色、ジャンパー、黒色、長ズボン	帰宅途中の女子児童が、男に容姿を撮影されたもの。	250
つきまとい	2016/05/26(木) 午後2時50分	柏市豊四季	35.81361	139.940499	不明	男	171～175cm	無	帽子を目深に被り、顔が見えない	黒色と白色の野球帽、青色長袖シャツ、青色ズボン、黄緑色と橙色のスニーカー	帰宅途中の男子児童が、男につきまとわれたもの。	280
露出	2016/05/15(日) 午前11時0分	松戸市小金原二丁目	35.81361	139.94439	61～70歳	男	161～165cm	無	小太り、白髪交じりの短髪	緑色半袖シャツ、ベージュ色長ズボン	遊んでいた女子児童が、陰部を露出した男に声を掛けられたもの。	600
つきまとい	2016/06/06(月) 午後4時29分	松戸市小金原九丁目	35.812861	139.948138	41～50歳	男	166～170cm	無	細身、黒髪短髪、黒縁眼鏡、黒色リュックサック	青色半袖シャツ、ベージュ半ズボン	歩いていた女子児童らが、男につきまとわれたもの。	280
露出	2016/04/06(水) 午後5時20分	松戸市小金原九丁目	35.81347	139.950155	31～40歳	男	不明	その他2輪	小太り、銀縁みたいな眼鏡を使用	黒っぽいヘルメット（ジェット型）、黒っぽい服、黒っぽいズボン	遊んでいた女子児童が、男に声を掛けられ、陰部を見せられたもの。	600
声かけ	2016/11/11(金) 午後3時10分	松戸市根本	35.79118	139.903266	31～40歳	男	166～170cm	無	黒色短め、会社員風、黒色ビジネスバッグを所持	白色ワイシャツ、色不明のネクタイ、黒色スーツ、色不明の革靴	帰宅途中の女子児童らが、男に声を掛けられたもの。	130
露出	2016/10/16(日) 午後3時20分	流山市名都借	35.818192	139.943193	31～40歳	男	166～170cm	軽乗用	黒色短髪、会社員風、黒色サングラスを着用	不明	談話中の女子中学生らが、車に乗った男に陰部を見せられたもの。	600
露出	2016/10/09(日) 午後4時50分	松戸市小金原七丁目	35.815733	139.947122	18～25歳	男	166～170cm	無	フード着用のためだが前髪があったとのこと、学生風、黒縁メガネ、オレンジ色のスマートフォン	緑色のフード、緑色ウインドブレーカー、色不明なるも運動靴	遊んでいた女子児童らが、男に陰部を見せられたもの。	600
声かけ	2016/11/07(月) 午後4時40分	松戸市三ケ月	35.818594	139.921611	26～30歳	女	不明	普通乗用	長め、やや茶髪、茶色の熊のぬいぐるみ（怖い感じ）	不明	帰宅途中の女子児童が、車に乗った女に声を掛けられたもの。	130
